Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Risk_Level,Age_Group
32,20,Female,Undergraduate,Philippines,4.8,Snapchat,Yes,5.7,6,In Relationship,3,7,Medium Risk (6-7),20
33,18,Male,High School,Indonesia,5.4,TikTok,Yes,5.4,5,Complicated,4,8,High Risk (8-10),18
34,23,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8,Single,1,4,Low Risk (1-5),23
35,19,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6,In Relationship,3,7,Medium Risk (6-7),19
36,20,Female,Undergraduate,Turkey,5.6,TikTok,Yes,5.5,5,Complicated,4,8,High Risk (8-10),20
37,22,Male,Graduate,Israel,3.1,Facebook,No,6.8,7,Single,1,5,Low Risk (1-5),22
38,19,Female,High School,UAE,6.2,Instagram,Yes,5.1,5,In Relationship,4,9,High Risk (8-10),19
39,21,Male,Undergraduate,Egypt,3.9,YouTube,No,6.5,7,Complicated,2,6,Medium Risk (6-7),21
40,20,Female,Undergraduate,Morocco,4.5,TikTok,Yes,5.8,6,Single,3,7,Medium Risk (6-7),20
41,24,Male,Graduate,South Africa,2.3,LinkedIn,No,7.3,8,In Relationship,1,4,Low Risk (1-5),24
42,19,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5,Complicated,4,8,High Risk (8-10),19
43,21,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Single,2,5,Low Risk (1-5),21
44,20,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7,Medium Risk (6-7),20
45,18,Male,High School,Argentina,5.5,TikTok,Yes,5.3,5,Single,4,8,High Risk (8-10),18
46,23,Female,Graduate,Chile,2.7,LinkedIn,No,7.1,8,Complicated,1,4,Low Risk (1-5),23
47,19,Male,Undergraduate,Colombia,4.8,Instagram,Yes,5.9,6,In Relationship,3,7,Medium Risk (6-7),19
48,20,Female,Undergraduate,Peru,5.5,TikTok,Yes,5.6,5,Single,4,8,High Risk (8-10),20
49,22,Male,Graduate,Venezuela,3.3,Facebook,No,6.7,7,In Relationship,2,5,Low Risk (1-5),22
50,19,Female,High School,Ecuador,6.3,Instagram,Yes,5.2,5,Complicated,4,9,High Risk (8-10),19
51,21,Male,Undergraduate,Uruguay,3.8,YouTube,No,6.4,7,Single,2,6,Medium Risk (6-7),21
52,20,Female,Undergraduate,Paraguay,4.7,TikTok,Yes,5.8,6,In Relationship,3,7,Medium Risk (6-7),20
53,24,Male,Graduate,Bolivia,2.4,LinkedIn,No,7.2,8,Complicated,1,4,Low Risk (1-5),24
54,19,Female,High School,Costa Rica,5.7,Instagram,Yes,5.5,5,Single,4,8,High Risk (8-10),19
55,21,Male,Undergraduate,Panama,3.6,Facebook,No,6.5,7,In Relationship,2,5,Low Risk (1-5),21
56,20,Female,Undergraduate,Jamaica,4.9,Snapchat,Yes,5.6,6,Complicated,3,7,Medium Risk (6-7),20
57,18,Male,High School,Trinidad,5.6,TikTok,Yes,5.2,5,Single,4,8,High Risk (8-10),18
58,23,Female,Graduate,Bahamas,2.8,LinkedIn,No,7.0,8,In Relationship,1,4,Low Risk (1-5),23
59,19,Male,Undergraduate,Iceland,4.6,Instagram,Yes,5.9,6,Complicated,3,7,Medium Risk (6-7),19
60,20,Female,Undergraduate,Finland,5.4,TikTok,Yes,5.7,5,Single,4,8,High Risk (8-10),20
61,22,Male,Graduate,Poland,3.1,Facebook,No,7.1,7,Single,1,5,Low Risk (1-5),22
62,19,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,In Relationship,3,8,High Risk (8-10),19
63,20,Male,Undergraduate,Hungary,4.2,TikTok,Yes,6.0,6,Complicated,3,7,Medium Risk (6-7),20
64,18,Female,High School,Czech Republic,6.1,Snapchat,Yes,5.2,4,Single,4,9,High Risk (8-10),18
65,23,Male,Graduate,Slovakia,2.3,LinkedIn,No,7.4,8,In Relationship,1,3,Low Risk (1-5),23
66,21,Female,Undergraduate,Croatia,4.8,Instagram,Yes,5.8,6,Single,3,7,Medium Risk (6-7),21
67,20,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7,Complicated,2,6,Medium Risk (6-7),20
68,19,Female,High School,Slovenia,5.7,TikTok,Yes,5.4,5,In Relationship,4,8,High Risk (8-10),19
69,22,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8,Single,1,4,Low Risk (1-5),22
70,20,Female,Undergraduate,Estonia,4.5,Instagram,Yes,5.9,6,Complicated,3,7,Medium Risk (6-7),20
71,18,Male,High School,Latvia,5.4,Snapchat,Yes,5.5,5,Single,4,8,High Risk (8-10),18
72,21,Female,Graduate,Lithuania,3.2,Facebook,No,6.8,7,In Relationship,2,5,Low Risk (1-5),21
73,19,Male,Undergraduate,Ukraine,4.9,TikTok,Yes,5.7,6,Complicated,3,7,Medium Risk (6-7),19
74,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Single,4,8,High Risk (8-10),20
75,23,Male,Graduate,Belarus,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,Low Risk (1-5),23
76,21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Single,3,7,Medium Risk (6-7),21
77,19,Male,High School,Uzbekistan,5.5,TikTok,Yes,5.4,5,Complicated,4,8,High Risk (8-10),19
78,22,Female,Graduate,Kyrgyzstan,2.9,Facebook,No,7.0,7,In Relationship,2,5,Low Risk (1-5),22
79,20,Male,Undergraduate,Tajikistan,4.7,YouTube,Yes,5.9,6,Single,3,7,Medium Risk (6-7),20
80,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4,9,High Risk (8-10),18
81,21,Male,Graduate,Georgia,3.0,LinkedIn,No,7.1,8,In Relationship,1,4,Low Risk (1-5),21
82,19,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6,Single,3,7,Medium Risk (6-7),19
83,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,6,Medium Risk (6-7),20
84,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1,4,Low Risk (1-5),22
85,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Single,4,8,High Risk (8-10),18
86,21,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Complicated,3,7,Medium Risk (6-7),21
87,19,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5,In Relationship,4,8,High Risk (8-10),19
88,23,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8,Single,1,4,Low Risk (1-5),23
89,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6.0,6,Complicated,3,7,Medium Risk (6-7),20
90,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,9,High Risk (8-10),18
91,22,Male,Graduate,Montenegro,2.9,Facebook,No,7.0,7,In Relationship,2,5,Low Risk (1-5),22
92,19,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6,Complicated,3,7,Medium Risk (6-7),19
93,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6,Medium Risk (6-7),21
94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8,High Risk (8-10),20
95,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1,4,Low Risk (1-5),23
96,19,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,Single,3,7,Medium Risk (6-7),19
97,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8,High Risk (8-10),18
98,22,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Complicated,1,4,Low Risk (1-5),22
99,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3,7,Medium Risk (6-7),20
100,21,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5,In Relationship,4,8,High Risk (8-10),21
101,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4,9,High Risk (8-10),19
102,23,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Single,1,4,Low Risk (1-5),23
103,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3,7,Medium Risk (6-7),20
104,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4,8,High Risk (8-10),18
105,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7.0,7,Complicated,2,5,Low Risk (1-5),22
106,19,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6,In Relationship,3,7,Medium Risk (6-7),19
107,21,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7,Single,2,6,Medium Risk (6-7),21
108,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,8,High Risk (8-10),20
109,23,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,In Relationship,1,4,Low Risk (1-5),23
110,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3,7,Medium Risk (6-7),19
111,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,8,High Risk (8-10),20
112,21,Female,Undergraduate,India,5.8,TikTok,Yes,5.9,6,In Relationship,3,7,Medium Risk (6-7),21
113,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Single,2,5,Low Risk (1-5),19
114,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6.0,5,Single,4,8,High Risk (8-10),22
115,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3,7,Medium Risk (6-7),20
116,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2,5,Low Risk (1-5),19
117,21,Male,Graduate,Bangladesh,6.0,Facebook,Yes,5.8,5,In Relationship,4,8,High Risk (8-10),21
118,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Single,3,7,Medium Risk (6-7),20
119,22,Male,Graduate,Nepal,4.7,TikTok,No,7.3,7,Single,2,5,Low Risk (1-5),22
120,19,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,In Relationship,4,8,High Risk (8-10),19
121,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Single,3,7,Medium Risk (6-7),20
122,21,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,In Relationship,2,5,Low Risk (1-5),21
123,19,Male,Undergraduate,Bangladesh,5.3,TikTok,Yes,6.3,5,Single,4,8,High Risk (8-10),19
124,22,Female,Graduate,India,5.8,Instagram,Yes,5.8,6,In Relationship,3,7,Medium Risk (6-7),22
125,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Single,2,5,Low Risk (1-5),20
126,21,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,In Relationship,4,8,High Risk (8-10),21
127,19,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,Single,3,7,Medium Risk (6-7),19
128,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,In Relationship,2,5,Low Risk (1-5),20
129,22,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5,Single,4,8,High Risk (8-10),22
130,21,Female,Graduate,India,5.6,Instagram,Yes,5.6,6,In Relationship,3,7,Medium Risk (6-7),21
131,19,Male,Undergraduate,Nepal,4.3,TikTok,No,7.7,7,Single,2,5,Low Risk (1-5),19
132,20,Female,Undergraduate,Pakistan,5.0,Instagram,Yes,6.6,5,In Relationship,4,8,High Risk (8-10),20
133,22,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6,Single,3,7,Medium Risk (6-7),22
134,21,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8,In Relationship,2,5,Low Risk (1-5),21
135,19,Male,Undergraduate,Bangladesh,4.9,TikTok,Yes,6.7,5,Single,4,8,High Risk (8-10),19
136,20,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6,In Relationship,3,7,Medium Risk (6-7),20
137,22,Male,Graduate,Nepal,4.1,Facebook,No,7.9,7,Single,2,5,Low Risk (1-5),22
138,21,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,In Relationship,4,8,High Risk (8-10),21
139,19,Male,Undergraduate,Sri Lanka,5.3,TikTok,Yes,5.3,6,Single,3,7,Medium Risk (6-7),19
140,20,Female,Undergraduate,Maldives,4.0,Instagram,No,8.0,8,In Relationship,2,5,Low Risk (1-5),20
141,22,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Single,4,8,High Risk (8-10),22
142,21,Female,Graduate,India,5.2,Instagram,Yes,5.2,6,In Relationship,3,7,Medium Risk (6-7),21
143,19,Male,Undergraduate,Nepal,3.9,TikTok,No,8.1,7,Single,2,5,Low Risk (1-5),19
144,20,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7.0,5,In Relationship,4,8,High Risk (8-10),20
145,22,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Single,3,7,Medium Risk (6-7),22
146,21,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8,In Relationship,2,5,Low Risk (1-5),21
147,19,Male,Undergraduate,Bangladesh,4.5,TikTok,Yes,7.1,5,Single,4,8,High Risk (8-10),19
148,20,Female,Undergraduate,India,5.0,Instagram,Yes,5.0,6,In Relationship,3,7,Medium Risk (6-7),20
149,22,Male,Graduate,Nepal,3.7,Facebook,No,8.3,7,Single,2,5,Low Risk (1-5),22
150,21,Female,Graduate,Pakistan,4.4,Instagram,Yes,7.2,5,In Relationship,4,8,High Risk (8-10),21
151,19,Male,Undergraduate,Sri Lanka,4.9,TikTok,Yes,4.9,6,Single,3,7,Medium Risk (6-7),19
152,20,Female,Undergraduate,Maldives,3.6,Instagram,No,8.4,8,In Relationship,2,5,Low Risk (1-5),20
153,22,Male,Graduate,Bangladesh,4.3,Facebook,Yes,7.3,5,Single,4,8,High Risk (8-10),22
154,21,Female,Graduate,India,4.8,Instagram,Yes,4.8,6,In Relationship,3,7,Medium Risk (6-7),21
155,19,Male,Undergraduate,Nepal,3.5,TikTok,No,8.5,7,Single,2,5,Low Risk (1-5),19
156,20,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5,In Relationship,4,8,High Risk (8-10),20
157,22,Male,Graduate,Sri Lanka,4.7,Facebook,Yes,4.7,6,Single,3,7,Medium Risk (6-7),22
158,21,Female,Graduate,Maldives,3.4,Instagram,No,8.6,8,In Relationship,2,5,Low Risk (1-5),21
159,19,Male,Undergraduate,Bangladesh,4.1,TikTok,Yes,7.5,5,Single,4,8,High Risk (8-10),19
160,20,Female,Undergraduate,India,4.6,Instagram,Yes,4.6,6,In Relationship,3,7,Medium Risk (6-7),20
161,19,Female,Undergraduate,Bangladesh,5.3,Instagram,Yes,6.1,5,Single,3,7,Medium Risk (6-7),19
162,21,Male,Graduate,India,4.8,Facebook,No,7.2,7,In Relationship,2,6,Medium Risk (6-7),21
163,20,Female,Undergraduate,Nepal,5.5,TikTok,Yes,5.9,6,Single,4,8,High Risk (8-10),20
164,22,Male,Graduate,Pakistan,4.7,Instagram,Yes,6.3,5,In Relationship,3,7,Medium Risk (6-7),22
165,19,Female,Undergraduate,Sri Lanka,5.1,Facebook,No,7.0,7,Single,2,5,Low Risk (1-5),19
166,21,Male,Graduate,Maldives,5.4,TikTok,Yes,6.0,6,In Relationship,4,8,High Risk (8-10),21
167,20,Female,Undergraduate,Bangladesh,4.9,Instagram,Yes,6.4,5,Single,3,7,Medium Risk (6-7),20
168,22,Male,Graduate,India,5.2,Facebook,No,7.1,7,In Relationship,2,6,Medium Risk (6-7),22
169,19,Female,Undergraduate,Nepal,5.6,TikTok,Yes,5.8,6,Single,4,8,High Risk (8-10),19
170,21,Male,Graduate,Pakistan,4.6,Instagram,Yes,6.5,5,In Relationship,3,7,Medium Risk (6-7),21
171,20,Female,Undergraduate,Sri Lanka,5.0,Facebook,No,7.3,7,Single,2,5,Low Risk (1-5),20
172,22,Male,Graduate,Maldives,5.3,TikTok,Yes,5.7,6,In Relationship,4,8,High Risk (8-10),22
173,19,Female,Undergraduate,Bangladesh,4.8,Instagram,Yes,6.6,5,Single,3,7,Medium Risk (6-7),19
174,21,Male,Graduate,India,5.1,Facebook,No,7.4,7,In Relationship,2,6,Medium Risk (6-7),21
175,20,Female,Undergraduate,Nepal,5.7,TikTok,Yes,5.6,6,Single,4,8,High Risk (8-10),20
176,22,Male,Graduate,Pakistan,4.5,Instagram,Yes,6.7,5,In Relationship,3,7,Medium Risk (6-7),22
177,19,Female,Undergraduate,Sri Lanka,4.9,Facebook,No,7.5,7,Single,2,5,Low Risk (1-5),19
178,21,Male,Graduate,Maldives,5.2,TikTok,Yes,5.5,6,In Relationship,4,8,High Risk (8-10),21
179,20,Female,Undergraduate,Bangladesh,4.7,Instagram,Yes,6.8,5,Single,3,7,Medium Risk (6-7),20
180,22,Male,Graduate,India,5.0,Facebook,No,7.6,7,In Relationship,2,6,Medium Risk (6-7),22
181,19,Female,Undergraduate,Nepal,5.8,TikTok,Yes,5.4,6,Single,4,8,High Risk (8-10),19
182,21,Male,Graduate,Pakistan,4.4,Instagram,Yes,6.9,5,In Relationship,3,7,Medium Risk (6-7),21
183,20,Female,Undergraduate,Sri Lanka,4.8,Facebook,No,7.7,7,Single,2,5,Low Risk (1-5),20
184,22,Male,Graduate,Maldives,5.1,TikTok,Yes,5.3,6,In Relationship,4,8,High Risk (8-10),22
185,19,Female,Undergraduate,Bangladesh,4.6,Instagram,Yes,7.0,5,Single,3,7,Medium Risk (6-7),19
186,21,Male,Graduate,India,4.9,Facebook,No,7.8,7,In Relationship,2,6,Medium Risk (6-7),21
187,20,Female,Undergraduate,Nepal,5.9,TikTok,Yes,5.2,6,Single,4,8,High Risk (8-10),20
188,22,Male,Graduate,Pakistan,4.3,Instagram,Yes,7.1,5,In Relationship,3,7,Medium Risk (6-7),22
189,19,Female,Undergraduate,Sri Lanka,4.7,Facebook,No,7.9,7,Single,2,5,Low Risk (1-5),19
190,21,Male,Graduate,Maldives,5.0,TikTok,Yes,5.1,6,In Relationship,4,8,High Risk (8-10),21
191,20,Female,Undergraduate,Bangladesh,4.5,Instagram,Yes,7.2,5,Single,3,7,Medium Risk (6-7),20
192,22,Male,Graduate,India,4.8,Facebook,No,8.0,7,In Relationship,2,6,Medium Risk (6-7),22
193,19,Female,Undergraduate,Nepal,6.0,TikTok,Yes,5.0,6,Single,4,8,High Risk (8-10),19
194,21,Male,Graduate,Pakistan,4.2,Instagram,Yes,7.3,5,In Relationship,3,7,Medium Risk (6-7),21
195,20,Female,Undergraduate,Sri Lanka,4.6,Facebook,No,8.1,7,Single,2,5,Low Risk (1-5),20
196,22,Male,Graduate,Maldives,4.9,TikTok,Yes,4.9,6,In Relationship,4,8,High Risk (8-10),22
197,19,Female,Undergraduate,Bangladesh,4.4,Instagram,Yes,7.4,5,Single,3,7,Medium Risk (6-7),19
198,21,Male,Graduate,India,4.7,Facebook,No,8.2,7,In Relationship,2,6,Medium Risk (6-7),21
199,20,Female,Undergraduate,Nepal,6.1,TikTok,Yes,4.8,6,Single,4,8,High Risk (8-10),20
200,22,Male,Graduate,Pakistan,4.1,Instagram,Yes,7.5,5,In Relationship,3,7,Medium Risk (6-7),22
201,19,Female,Undergraduate,Sri Lanka,4.5,Facebook,No,8.3,7,Single,2,5,Low Risk (1-5),19
202,21,Male,Graduate,Maldives,4.8,TikTok,Yes,4.7,6,In Relationship,4,8,High Risk (8-10),21
203,20,Female,Undergraduate,Bangladesh,4.3,Instagram,Yes,7.6,5,Single,3,7,Medium Risk (6-7),20
204,22,Male,Graduate,India,4.6,Facebook,No,8.4,7,In Relationship,2,6,Medium Risk (6-7),22
205,19,Female,Undergraduate,Nepal,6.2,TikTok,Yes,4.6,6,Single,4,8,High Risk (8-10),19
206,21,Male,Graduate,Pakistan,4.0,Instagram,Yes,7.7,5,In Relationship,3,7,Medium Risk (6-7),21
207,20,Female,Undergraduate,Sri Lanka,4.4,Facebook,No,8.5,7,Single,2,5,Low Risk (1-5),20
208,22,Male,Graduate,Maldives,4.7,TikTok,Yes,4.5,6,In Relationship,4,8,High Risk (8-10),22
209,19,Female,Undergraduate,Bangladesh,4.2,Instagram,Yes,7.8,5,Single,3,7,Medium Risk (6-7),19
210,21,Male,Graduate,India,4.5,Facebook,No,8.6,7,In Relationship,2,6,Medium Risk (6-7),21
211,20,Female,Undergraduate,Nepal,6.3,TikTok,Yes,4.4,6,Single,4,8,High Risk (8-10),20
212,22,Male,Graduate,Pakistan,3.9,Instagram,Yes,7.9,5,In Relationship,3,7,Medium Risk (6-7),22
213,19,Female,Undergraduate,Sri Lanka,4.3,Facebook,No,8.7,7,Single,2,5,Low Risk (1-5),19
214,21,Male,Graduate,Maldives,4.6,TikTok,Yes,4.3,6,In Relationship,4,8,High Risk (8-10),21
215,20,Female,Undergraduate,Bangladesh,4.1,Instagram,Yes,8.0,5,Single,3,7,Medium Risk (6-7),20
216,22,Male,Graduate,India,4.4,Facebook,No,8.8,7,In Relationship,2,6,Medium Risk (6-7),22
217,19,Female,Undergraduate,Nepal,6.4,TikTok,Yes,4.2,6,Single,4,8,High Risk (8-10),19
218,21,Male,Graduate,Pakistan,3.8,Instagram,Yes,8.1,5,In Relationship,3,7,Medium Risk (6-7),21
219,20,Female,Undergraduate,Sri Lanka,4.2,Facebook,No,8.9,7,Single,2,5,Low Risk (1-5),20
220,22,Male,Graduate,Maldives,4.5,TikTok,Yes,4.1,6,In Relationship,4,8,High Risk (8-10),22
221,19,Female,Undergraduate,USA,6.5,Instagram,Yes,6.0,5,Single,4,9,High Risk (8-10),19
222,21,Male,Graduate,UK,5.8,TikTok,Yes,6.5,6,In Relationship,3,7,Medium Risk (6-7),21
223,20,Female,Undergraduate,Australia,4.5,Instagram,No,7.5,8,Single,2,5,Low Risk (1-5),20
224,22,Male,Graduate,Germany,4.2,Facebook,No,7.8,7,In Relationship,2,4,Low Risk (1-5),22
225,19,Female,Undergraduate,Japan,3.8,LINE,No,7.9,8,Single,1,3,Low Risk (1-5),19
226,21,Male,Graduate,Italy,5.5,Instagram,Yes,6.8,6,Single,3,7,Medium Risk (6-7),21
227,20,Female,Undergraduate,South Korea,5.2,KakaoTalk,Yes,6.5,6,In Relationship,3,6,Medium Risk (6-7),20
228,22,Male,Graduate,Russia,4.8,VKontakte,No,7.2,7,Single,2,5,Low Risk (1-5),22
229,19,Female,Undergraduate,USA,7.0,TikTok,Yes,5.8,4,In Relationship,4,9,High Risk (8-10),19
230,21,Male,Graduate,UK,5.5,Instagram,Yes,6.7,6,Single,3,7,Medium Risk (6-7),21
231,20,Female,Undergraduate,Australia,4.7,Facebook,No,7.4,7,In Relationship,2,5,Low Risk (1-5),20
232,22,Male,Graduate,Germany,4.0,Instagram,No,7.9,8,Single,1,4,Low Risk (1-5),22
233,19,Female,Undergraduate,Japan,3.5,LINE,No,8.0,8,Single,1,3,Low Risk (1-5),19
234,21,Male,Graduate,Italy,5.7,TikTok,Yes,6.5,5,In Relationship,3,8,High Risk (8-10),21
235,20,Female,Undergraduate,South Korea,5.0,KakaoTalk,Yes,6.8,6,Single,3,6,Medium Risk (6-7),20
236,22,Male,Graduate,Russia,4.5,VKontakte,No,7.4,7,In Relationship,2,5,Low Risk (1-5),22
237,19,Female,Undergraduate,USA,6.8,Instagram,Yes,5.9,4,Single,4,9,High Risk (8-10),19
238,21,Male,Graduate,UK,5.6,Facebook,Yes,6.6,6,In Relationship,3,7,Medium Risk (6-7),21
239,20,Female,Undergraduate,Australia,4.6,Instagram,No,7.3,7,Single,2,5,Low Risk (1-5),20
240,22,Male,Graduate,Germany,4.1,Facebook,No,7.7,8,In Relationship,2,4,Low Risk (1-5),22
